Student Country,Topic,Subtopic,Keywords,Type of Answer
0,13,22,317,0
3,13,22,317,1
3,13,22,317,1
1,13,22,317,0
3,13,22,317,1
3,13,22,317,1
3,13,22,317,1
3,13,22,317,1
3,13,22,317,0
3,13,22,317,0
2,13,22,317,0
1,13,22,317,1
1,13,22,317,0
0,13,22,317,0
0,13,22,317,0
3,13,22,317,0
3,13,22,317,0
3,13,22,317,0
3,13,22,317,0
3,13,22,317,0
3,13,22,317,0
1,13,22,317,0
2,13,22,317,0
1,13,22,317,0
0,13,22,317,0
0,13,22,317,0
0,13,22,317,0
0,13,22,317,0
3,13,22,317,1
3,13,22,317,1
0,13,22,317,0
3,13,22,317,1
3,13,22,317,0
3,13,22,317,0
3,13,22,317,0
3,13,22,317,0
3,13,22,317,0
3,13,22,317,1
3,13,22,317,0
1,13,22,317,0
0,13,22,252,1
0,13,22,252,0
1,13,22,252,0
3,13,22,252,0
3,13,22,252,0
3,13,22,252,1
3,13,22,252,0
1,13,22,252,0
1,13,22,252,0
1,13,22,252,0
0,13,22,202,0
0,13,22,202,0
0,13,22,202,0
3,13,22,202,0
3,13,22,202,0
3,13,22,202,0
3,13,22,202,1
3,13,22,202,1
3,13,22,202,1
3,13,22,202,0
3,13,22,202,1
3,13,22,202,1
1,13,22,202,1
2,3,4,182,0
1,3,4,182,0
1,3,4,182,0
3,3,4,182,0
3,3,4,182,0
3,3,4,182,0
3,3,4,182,0
3,3,4,182,0
7,3,4,182,0
2,11,6,73,1
1,11,6,73,1
3,11,6,73,0
3,11,6,73,1
3,11,6,73,1
3,11,6,73,0
1,11,6,73,0
1,11,6,73,0
3,11,6,137,1
3,11,12,137,1
1,11,6,137,0
3,11,12,137,0
3,11,12,137,0
3,11,6,137,1
3,11,12,137,0
3,11,12,137,1
3,11,12,137,0
3,11,12,137,0
1,7,14,136,1
1,7,14,136,1
3,7,14,136,1
3,7,14,136,1
3,7,14,136,1
3,7,14,136,0
1,7,14,136,0
1,7,14,136,1
1,7,14,136,0
3,7,14,311,0
3,7,14,311,1
1,7,14,311,0
1,7,14,311,1
3,7,14,311,0
3,7,14,311,0
3,7,14,311,1
3,7,14,311,0
3,7,14,311,1
3,7,14,311,0
3,7,14,311,1
1,7,14,311,1
1,7,14,311,1
1,7,14,311,0
1,7,14,311,1
1,7,14,311,1
1,7,14,311,1
1,7,14,311,0
1,7,14,311,1
3,7,14,311,1
3,7,14,311,0
3,7,14,311,1
3,7,14,311,1
3,7,14,311,1
3,7,14,311,1
1,7,14,311,0
3,7,14,311,1
1,7,14,311,1
1,7,14,311,1
3,7,14,311,0
3,7,14,50,1
3,7,14,50,1
1,7,14,50,1
1,7,14,50,0
1,7,14,50,0
3,7,14,50,1
3,7,14,50,0
3,7,14,50,0
3,7,14,50,1
3,7,14,50,1
1,7,14,50,1
1,7,14,50,1
1,7,14,50,0
1,7,14,51,1
3,7,14,51,0
3,7,14,51,0
3,7,14,51,1
3,7,14,51,1
3,7,14,51,0
3,7,14,51,1
3,7,14,51,0
3,7,14,51,1
1,7,14,51,1
5,7,14,51,1
2,3,4,260,0
2,3,4,260,0
3,3,4,260,1
3,3,4,260,0
3,3,4,260,1
1,3,4,260,1
3,3,4,351,1
1,3,4,351,0
3,3,4,351,1
3,3,4,351,0
3,3,4,351,1
3,3,4,351,1
3,3,4,351,0
1,3,4,351,0
1,3,4,351,0
2,3,4,352,1
1,3,4,352,0
4,3,4,352,1
3,3,4,352,0
3,3,4,352,0
7,3,4,351,0
2,3,4,351,1
1,3,4,351,0
3,3,4,351,1
3,3,4,351,0
3,3,4,351,0
3,3,4,351,1
1,3,4,351,1
1,3,4,351,0
3,3,4,351,1
3,3,4,351,1
1,3,4,351,0
3,3,4,351,1
3,3,4,351,1
1,3,4,351,0
1,3,4,351,0
