Student ID,Student Country,Question ID,Type of Answer,Question Level,Topic,Subtopic,Keywords
647,0,77,0,1,13,22,317
41,3,77,1,1,13,22,317
340,3,77,1,1,13,22,317
641,1,77,0,1,13,22,317
669,3,77,1,1,13,22,317
697,3,77,1,1,13,22,317
720,3,77,1,1,13,22,317
675,3,77,1,1,13,22,317
663,3,77,0,1,13,22,317
28,3,77,0,1,13,22,317
953,2,77,0,1,13,22,317
636,1,77,1,1,13,22,317
639,1,77,0,1,13,22,317
684,0,78,0,1,13,22,317
683,0,78,0,1,13,22,317
725,3,78,0,1,13,22,317
57,3,78,0,1,13,22,317
690,3,78,0,1,13,22,317
675,3,78,0,1,13,22,317
679,3,78,0,1,13,22,317
663,3,78,0,1,13,22,317
638,1,78,0,1,13,22,317
953,2,78,0,1,13,22,317
637,1,78,0,1,13,22,317
658,0,79,0,1,13,22,317
647,0,79,0,1,13,22,317
657,0,79,0,1,13,22,317
674,0,79,0,1,13,22,317
41,3,79,1,1,13,22,317
41,3,79,1,1,13,22,317
651,0,79,0,1,13,22,317
1505,3,79,1,1,13,22,317
664,3,79,0,1,13,22,317
699,3,79,0,1,13,22,317
67,3,79,0,1,13,22,317
57,3,79,0,1,13,22,317
57,3,79,0,1,13,22,317
675,3,79,1,1,13,22,317
679,3,79,0,1,13,22,317
638,1,79,0,1,13,22,317
913,0,80,1,1,13,22,252
646,0,80,0,1,13,22,252
641,1,80,0,1,13,22,252
695,3,80,0,1,13,22,252
700,3,80,0,1,13,22,252
675,3,80,1,1,13,22,252
659,3,80,0,1,13,22,252
642,1,80,0,1,13,22,252
637,1,80,0,1,13,22,252
643,1,80,0,1,13,22,252
741,0,81,0,1,13,22,202
647,0,81,0,1,13,22,202
674,0,81,0,1,13,22,202
713,3,81,0,1,13,22,202
41,3,81,0,1,13,22,202
669,3,81,0,1,13,22,202
1505,3,81,1,1,13,22,202
668,3,81,1,1,13,22,202
695,3,81,1,1,13,22,202
699,3,81,0,1,13,22,202
661,3,81,1,1,13,22,202
667,3,81,1,1,13,22,202
638,1,81,1,1,13,22,202
1026,2,82,0,1,3,4,182
175,1,82,0,1,3,4,182
626,1,82,0,1,3,4,182
349,3,82,0,1,3,4,182
174,3,82,0,1,3,4,182
1564,3,82,0,1,3,4,182
407,3,82,0,1,3,4,182
411,3,82,0,1,3,4,182
155,7,82,0,1,3,4,182
240,2,83,1,1,11,6,73
626,1,83,1,1,11,6,73
750,3,83,0,1,11,6,73
1509,3,83,1,1,11,6,73
1557,3,83,1,1,11,6,73
1557,3,83,0,1,11,6,73
181,1,83,0,1,11,6,73
181,1,83,0,1,11,6,73
351,3,84,1,1,11,6,137
1564,3,84,1,1,11,12,137
181,1,84,0,1,11,6,137
1565,3,85,0,1,11,12,137
1481,3,85,0,1,11,12,137
1557,3,86,1,0,11,6,137
552,3,87,0,0,11,12,137
1557,3,87,1,0,11,12,137
1557,3,87,0,0,11,12,137
1557,3,87,0,0,11,12,137
854,1,88,1,1,7,14,136
854,1,88,1,1,7,14,136
26,3,88,1,1,7,14,136
511,3,88,1,1,7,14,136
973,3,88,1,1,7,14,136
411,3,88,0,1,7,14,136
852,1,88,0,1,7,14,136
852,1,88,1,1,7,14,136
852,1,88,0,1,7,14,136
988,3,89,0,1,7,14,311
988,3,89,1,1,7,14,311
854,1,89,0,1,7,14,311
860,1,89,1,1,7,14,311
510,3,89,0,1,7,14,311
979,3,89,0,1,7,14,311
509,3,89,1,1,7,14,311
511,3,89,0,1,7,14,311
406,3,89,1,1,7,14,311
406,3,89,0,1,7,14,311
411,3,89,1,1,7,14,311
852,1,89,1,1,7,14,311
852,1,89,1,1,7,14,311
600,1,89,0,1,7,14,311
853,1,89,1,1,7,14,311
853,1,89,1,1,7,14,311
1248,1,90,1,1,7,14,311
855,1,90,0,1,7,14,311
855,1,90,1,1,7,14,311
510,3,90,1,1,7,14,311
509,3,90,0,1,7,14,311
525,3,90,1,1,7,14,311
986,3,90,1,1,7,14,311
406,3,90,1,1,7,14,311
414,3,90,1,1,7,14,311
852,1,90,0,1,7,14,311
28,3,90,1,1,7,14,311
853,1,90,1,1,7,14,311
853,1,90,1,1,7,14,311
72,3,90,0,1,7,14,311
988,3,91,1,1,7,14,50
988,3,91,1,1,7,14,50
1248,1,91,1,1,7,14,50
855,1,91,0,1,7,14,50
855,1,91,0,1,7,14,50
511,3,91,1,1,7,14,50
511,3,91,0,1,7,14,50
406,3,91,0,1,7,14,50
414,3,91,1,1,7,14,50
414,3,91,1,1,7,14,50
852,1,91,1,1,7,14,50
852,1,91,1,1,7,14,50
598,1,91,0,1,7,14,50
854,1,92,1,1,7,14,51
510,3,92,0,1,7,14,51
524,3,92,0,1,7,14,51
26,3,92,1,1,7,14,51
511,3,92,1,1,7,14,51
509,3,92,0,1,7,14,51
406,3,92,1,1,7,14,51
414,3,92,0,1,7,14,51
411,3,92,1,1,7,14,51
853,1,92,1,1,7,14,51
625,5,92,1,1,7,14,51
239,2,93,0,1,3,4,260
1049,2,93,0,1,3,4,260
483,3,93,1,1,3,4,260
352,3,93,0,1,3,4,260
64,3,93,1,1,3,4,260
176,1,93,1,1,3,4,260
165,3,94,1,1,3,4,351
626,1,94,0,1,3,4,351
349,3,94,1,1,3,4,351
349,3,94,0,1,3,4,351
918,3,94,1,1,3,4,351
64,3,94,1,1,3,4,351
411,3,94,0,1,3,4,351
178,1,94,0,1,3,4,351
634,1,94,0,1,3,4,351
239,2,95,1,1,3,4,352
175,1,95,0,1,3,4,352
985,4,95,1,1,3,4,352
349,3,95,0,1,3,4,352
918,3,95,0,1,3,4,352
155,7,96,0,1,3,4,351
1049,2,97,1,1,3,4,351
175,1,97,0,1,3,4,351
71,3,97,1,1,3,4,351
1564,3,97,0,1,3,4,351
407,3,97,0,1,3,4,351
37,3,97,1,1,3,4,351
177,1,97,1,1,3,4,351
176,1,97,0,1,3,4,351
344,3,98,1,1,3,4,351
165,3,98,1,1,3,4,351
175,1,98,0,1,3,4,351
483,3,98,1,1,3,4,351
174,3,98,1,1,3,4,351
177,1,98,0,1,3,4,351
176,1,98,0,1,3,4,351
351,3,100,1,1,3,4,353
1049,2,100,0,1,3,4,353
344,3,100,0,1,3,4,353
985,4,100,1,1,3,4,353
483,3,100,0,1,3,4,353
352,3,100,0,1,3,4,353
71,3,100,1,1,3,4,353
407,3,100,0,1,3,4,353
351,3,101,0,0,3,4,350
41,3,102,0,1,4,0,300
351,3,102,1,1,4,0,300
351,3,102,0,1,4,0,300
351,3,102,1,1,4,0,300
203,2,102,0,1,4,0,300
344,3,102,0,1,4,0,300
510,3,102,1,1,4,0,300
510,3,102,0,1,4,0,300
